future_sales-explainable_boosting,,,,,,,,,,,,,,
0,0.01925667,0.02623939,0.026787711,0.028647073,0.0334089,0.035607644,0.042904482,0.043787911,0.06131368,0.078195693,0.110168742,0.14921871,0.153091407,
hour,day,item_id&day_of_week,day_of_week,item_price&day,month,item_price&day_of_week,item_id&month,item_price&month,shop_id&item_id,shop_id&item_price,shop_id,item_price,item_id,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
livestock_meat_import-explainable_boosting,,,,,,,,,,,,,,
534792.2279,689192.615,765514.569,1076963.61,1498578.142,2386087.376,2494527.309,2882089.925,,,,,,,
GEOGRAPHY_DESC&UNIT_DESC,GEOGRAPHY_DESC,UNIT_DESC,GEOGRAPHY_CODE,HS_CODE&GEOGRAPHY_DESC,HS_CODE&GEOGRAPHY_CODE,HS_CODE,HS_CODE&UNIT_DESC,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
product_demand-explainable_boosting,,,,,,,,,,,,,,
8.12E-15,79.53946927,126.9923548,171.4468965,173.8560129,177.9930551,452.3608718,535.0517477,589.6993282,1467.013929,1511.653746,1728.672591,1930.989273,4973.632451,
hour,month,Warehouse&month,day_of_week,day,day&month,Product_Code&day_of_week,Warehouse&day_of_week,Product_Code&Product_Category,Product_Category,Product_Code&Warehouse,Warehouse,Warehouse&Product_Category,Product_Code,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
online_retail_2-explainable_boosting,,,,,,,,,,,,,,
0.493898202,0.548914107,0.582280514,0.782219222,0.800791529,0.918293114,1.015076036,1.018599775,1.056883801,1.082329566,1.252818838,1.466132445,1.786946347,2.357169364,5.913808653
Price&month,month,Price&day,day_of_week,Country&month,StockCode&Country,hour,StockCode&Price,StockCode,CustomerID&Country,Price&Country,Price&CustomerID,CustomerID,Country,Price
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
online_retail-explainable_boosting,,,,,,,,,,,,,,
0.273103091,0.388139962,0.40327365,0.427026154,0.667531541,0.781204496,0.858048772,0.863500188,0.903643695,1.107456857,1.2836811,1.402105815,1.882741489,2.629527928,5.678530617
CustomerID&Country,day,Country&day,UnitPrice&month,UnitPrice&hour,day_of_week,CustomerID&hour,UnitPrice&Country,StockCode&UnitPrice,hour,UnitPrice&CustomerID,StockCode,Country,CustomerID,UnitPrice
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
future_sales-explainable_boosting-exf,,,,,,,,,,,,,,
0.00112088,0.001168939,0.001265592,0.001393536,0.001418187,0.001426904,0.001615511,0.002020474,0.00258663,0.003667699,0.005056909,0.005961815,0.432672899,0.432785933,1.05351114
shop_id&rolling_mean,fourier_transform,lag_1&lag_3,month,day_of_week,item_id&rolling_mean,lag_1&lag_2,item_price&rolling_mean,lag_2&rolling_mean,item_id,shop_id,item_price,lag_1,lag_2,rolling_mean
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
livestock_meat_import-explainable_boosting-exf,,,,,,,,,,,,,,
1324.920043,1588.063543,2076.639926,2542.537655,2581.786291,3044.859717,10699.87876,10723.98987,17393.75378,46289.49481,69186.37766,86928.70235,2207137.138,2208187.034,5574221.688
GEOGRAPHY_DESC&rolling_mean,lag_3&rolling_mean,GEOGRAPHY_DESC&lag_2,HS_CODE&rolling_mean,GEOGRAPHY_CODE&rolling_mean,UNIT_DESC&rolling_mean,fourier_transform,lag_3,UNIT_DESC,HS_CODE,GEOGRAPHY_CODE,GEOGRAPHY_DESC,lag_1,lag_2,rolling_mean
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
product_demand-explainable_boosting-exf,,,,,,,,,,,,,,
71.62921297,90.44159252,96.52161625,101.9809056,108.1272253,142.9924591,147.2141045,187.2316691,189.0655018,191.8211674,211.9462343,218.9345127,6761.947446,6788.551735,17036.75686
rolling_mean&day,Product_Category&rolling_mean,Warehouse&lag_1,lag_1&rolling_mean,Warehouse&lag_2,Warehouse&rolling_mean,lag_1&lag_2,Warehouse,Product_Code&Warehouse,Product_Code&rolling_mean,Product_Code,Product_Category,lag_1,lag_2,rolling_mean
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
online_retail_2-explainable_boosting-exf,,,,,,,,,,,,,,
0.380587603,0.391165661,0.430315594,0.448946782,0.494182545,0.655181238,0.879078836,1.19447956,1.202976307,1.962880857,2.307750379,2.40706459,3.144139975,3.946775554,16.47370547
StockCode,CustomerID,CustomerID&lag_2,Country&lag_2,Price&lag_1,Country,lag_3,lag_1&lag_2,Price&rolling_mean,lag_2&rolling_mean,lag_1&rolling_mean,Price,lag_1,lag_2,rolling_mean
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
online_retail-explainable_boosting-exf,,,,,,,,,,,,,,
0.465144405,0.477395262,0.494553469,0.504221765,0.511645072,0.521134382,0.54697999,0.616861032,0.747569965,0.769325378,0.809738401,0.881618277,1.017780125,2.516300221,8.218813957
CustomerID&lag_1,UnitPrice&lag_2,lag_3&rolling_mean,hour,rolling_mean&hour,lag_2,rolling_mean&month,CustomerID&rolling_mean,lag_1&rolling_mean,UnitPrice&rolling_mean,lag_1&lag_2,lag_2&rolling_mean,lag_3,UnitPrice,rolling_mean
,,,,,,,,,,,,,,